,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
35,uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.85,3520580332,36,5862913520,170527138.0,6.34,5.79,-0.22421655231568405,-3.69385,-132622233.02990627,-3.6303,600483073.71,1000000000.0,1000000000.0,44.92,-86.93191,2021-05-03T05:25:04.822Z,1.03,469.80201,2020-09-17T01:20:38.214Z,,2025-04-03T12:06:57.734Z
36,dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.99978,3169838342,37,3169838342,178857903.0,1.0,0.999368,5.04e-06,0.0005,-21524001.649761677,-0.67445,3170590893.6889,3170590893.6889,,1.22,-17.97833,2020-03-13T03:02:50.373Z,0.88196,13.35971,2023-03-11T07:50:50.514Z,,2025-04-03T12:06:56.046Z
37,aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.13,3104620339,38,5888702309,168935452.0,5.48,5.04,-0.17002963400509685,-3.20968,-99740737.05485392,-3.11266,604432613.0622345,1146460222.286565,,19.92,-74.23768,2023-01-26T14:25:17.390Z,3.08,66.63305,2022-12-29T21:35:14.796Z,,2025-04-03T12:07:01.675Z
38,susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.046,2981164062,39,2981164062,4144157.0,1.047,1.043,0.00109774,0.10508,2813804.0,0.09448,2849416827.829801,2849416827.829801,,1.088,-3.85295,2025-02-03T02:31:35.208Z,0.961716,8.76366,2025-01-04T01:21:08.460Z,,2025-04-03T12:06:55.425Z
39,pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,6.8e-06,2869501999,40,2869501999,1230792546.0,7.87e-06,6.81e-06,-5.34603068299e-07,-7.28651,-222257436.1926489,-7.1887,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-75.69082,2024-12-09T16:30:35.828Z,5.5142e-08,12256.05185,2023-04-18T02:14:41.591Z,,2025-04-03T12:07:04.527Z
40,near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.38,2847733652,41,2952331389,269575715.0,2.72,2.37,-0.185649440816805,-7.2444,-232650581.59178925,-7.55265,1199120797.0,1243164706.0,,20.44,-88.38344,2022-01-16T22:09:45.873Z,0.526762,350.71666,2020-11-04T16:09:15.137Z,,2025-04-03T12:07:02.930Z
41,okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,46.43,2790884965,42,10975512603,10228438.0,48.45,46.48,-1.2215556804050038,-2.56348,-64626451.37504578,-2.26322,60000000.0,235957685.3,300000000.0,73.8,-36.97056,2024-03-14T00:30:12.502Z,0.580608,7911.91713,2019-01-14T00:00:00.000Z,,2025-04-03T12:07:02.938Z
42,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,82906.0,2768670285,43,2768670285,459235276.0,88049.0,82402.0,-1652.98969087351,-1.95483,-37717444.433274746,-1.34399,33322.71577527,33322.71577527,,108953.0,-23.71537,2025-01-20T09:20:53.854Z,57439.0,44.70066,2024-09-12T14:07:41.775Z,,2025-04-03T12:06:55.673Z
43,tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,34.23,2742593770,44,3428413674,20158137.0,34.8,33.93,-0.018150191263153204,-0.05299,2994084.0,0.10929,79995999.05112354,100000000.0,100000000.0,50.43,-32.01082,2025-01-03T19:12:43.038Z,0.111255,30719.24129,2019-04-28T00:00:00.000Z,"{'times': 116.84011096695384, 'currency': 'usd', 'percentage': 11684.011096695383}",2025-04-03T12:06:56.783Z
44,gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,21.82,2686120907,45,6556280356,14342749.0,23.2,21.87,-0.6963959257206795,-3.09323,-81490710.22355652,-2.94444,122910587.76765741,300000000.0,,25.94,-15.72285,2025-01-25T03:07:37.823Z,0.25754,8388.38482,2020-03-13T02:18:02.481Z,,2025-04-03T12:06:57.594Z
45,crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.094392,2600304657,46,9236214921,69246282.0,0.10653,0.094153,-0.008609329470851315,-8.35845,-230344721.73012733,-8.13752,27429744947.6581,97429744947.6581,,0.965407,-90.17365,2021-11-24T15:53:54.855Z,0.0121196,682.73481,2019-02-08T00:00:00.000Z,,2025-04-03T12:06:55.887Z
46,mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.749579,2527792935,47,4672384255,219998549.0,0.807689,0.749777,-0.03593899843472148,-4.5752,-115786826.56034613,-4.37993,3364694382.83684,6219316794.99,6219316794.99,1.54,-51.23453,2024-04-08T09:45:25.482Z,0.307978,143.6414,2023-10-18T02:50:46.942Z,,2025-04-03T12:07:02.833Z
47,ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.790841,2501431621,48,7918159156,298150914.0,0.877062,0.779539,-0.01935510761960757,-2.38894,-68313267.49781322,-2.65837,3159107529.0,10000000000.0,10000000000.0,2.14,-63.10272,2024-12-16T00:36:00.777Z,0.082171,860.99536,2024-01-18T12:14:30.524Z,,2025-04-03T12:07:03.356Z
48,internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.02,2430064689,49,2675978889,101466726.0,5.46,4.98,-0.22607958749794577,-4.313,-105993568.83257389,-4.17946,482980630.6444949,531856611.5477817,,700.65,-99.28166,2021-05-10T16:05:53.653Z,2.87,75.67285,2023-09-22T00:29:57.369Z,,2025-04-03T12:07:00.253Z
49,ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,15.87,2408353834,50,2408412293,122344022.0,17.2,15.85,-0.5890712537028762,-3.57836,-85745490.439991,-3.43793,151370181.3892335,151373855.6292335,210700000.0,167.09,-90.4899,2021-05-06T18:34:22.133Z,0.615038,2483.57895,2016-07-25T00:00:00.000Z,"{'times': 34.273272419418, 'currency': 'usd', 'percentage': 3427.3272419418}",2025-04-03T12:06:56.925Z
50,first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.99424,2405483258,51,2405483258,7310642243.0,1.008,0.947246,-0.004017281916396831,-0.40243,-190741643.18676567,-7.34688,2419154419.993331,2419154419.993331,,1.15,-13.63546,2025-02-03T02:30:49.959Z,0.940377,5.73875,2024-12-05T22:30:51.394Z,,2025-04-03T12:06:57.264Z
51,ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.16,2281033012,52,2281033012,12689268.0,1.18,1.15,0.00055391,0.04759,7046284.0,0.30986,1957075724.078072,1957075724.078072,,1.29,-9.72552,2025-01-29T17:52:32.991Z,1.012,15.12447,2024-04-03T14:23:03.162Z,,2025-04-03T12:06:56.424Z
